User_ID;Gender;Age;Marital_Status;Website_Activity;Browsed_Electronics_12Mo;Bought_Electronics_12Mo;Bought_Digital_Media_18Mo;Bought_Digital_Books;Payment_Method;eReader_Adoption
1522852;M;38;M;Seldom;Yes;No;Yes;No;Credit Card;Early Majority
1371036;F;41;S;Seldom;No;No;Yes;No;Bank Transfer;Early Majority
1755186;F;41;S;Seldom;No;No;Yes;No;Bank Transfer;Early Majority
1243882;F;36;S;Seldom;Yes;No;Yes;Yes;Monthly Billing;Early Adopter
1773649;F;44;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Early Adopter
1199579;M;62;M;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1854843;F;61;M;Seldom;Yes;Yes;Yes;No;Website Account;Early Majority
1967426;F;40;M;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1609234;M;52;S;Frequent;Yes;Yes;Yes;No;Credit Card;Early Adopter
1493451;M;46;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1803602;M;46;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1534827;F;19;M;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1820272;M;57;S;Regular;No;Yes;Yes;Yes;Bank Transfer;Early Majority
1181240;F;46;S;Seldom;Yes;Yes;No;No;Bank Transfer;Early Adopter
1713871;F;17;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1540712;F;26;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Early Majority
1028253;F;40;S;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1895122;M;24;S;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1170586;M;24;S;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1433500;F;50;M;Regular;Yes;Yes;No;No;Bank Transfer;Innovator
1601514;M;22;M;Seldom;Yes;No;No;No;Monthly Billing;Early Majority
1309320;M;35;M;Regular;Yes;Yes;Yes;No;Bank Transfer;Early Adopter
1524349;F;51;S;Seldom;Yes;No;Yes;No;Bank Transfer;Late Majority
1763276;F;36;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1467205;F;59;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Early Adopter
1774954;F;59;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Early Adopter
1713950;F;54;S;Regular;Yes;No;Yes;No;Website Account;Early Majority
1662833;F;54;S;Regular;Yes;No;Yes;No;Website Account;Early Majority
1280282;M;48;M;Frequent;Yes;Yes;Yes;No;Bank Transfer;Early Adopter
1036519;M;19;M;Regular;Yes;Yes;Yes;Yes;Website Account;Innovator
1581272;F;52;S;Seldom;Yes;No;No;No;Website Account;Late Majority
1134120;M;34;S;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1814518;F;64;M;Frequent;No;Yes;No;Yes;Website Account;Innovator
1362114;F;49;M;Regular;No;Yes;Yes;No;Credit Card;Early Adopter
1676828;F;43;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1989750;F;43;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1006575;F;37;S;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1914870;F;49;M;Seldom;Yes;No;Yes;No;Bank Transfer;Late Majority
1500063;F;32;S;Seldom;Yes;No;Yes;No;Monthly Billing;Late Majority
1047046;F;22;S;Seldom;Yes;No;No;Yes;Bank Transfer;Early Adopter
1371320;F;22;S;Seldom;Yes;No;No;Yes;Bank Transfer;Early Adopter
1495666;M;41;M;Seldom;Yes;Yes;Yes;Yes;Credit Card;Early Majority
1290452;F;39;M;Seldom;Yes;No;No;No;Monthly Billing;Late Majority
1740849;M;57;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Late Majority
1738305;F;45;M;Frequent;Yes;No;No;No;Bank Transfer;Innovator
1887432;F;45;M;Frequent;Yes;No;No;No;Bank Transfer;Innovator
1063083;M;51;M;Seldom;Yes;Yes;Yes;No;Website Account;Early Majority
1067620;F;65;M;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1695481;F;54;S;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1786508;F;61;S;Seldom;No;No;Yes;Yes;Credit Card;Early Majority
1172762;F;61;S;Seldom;No;No;Yes;Yes;Credit Card;Early Majority
1426625;M;57;M;Seldom;Yes;Yes;No;Yes;Monthly Billing;Early Majority
1419180;F;35;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1199706;M;38;S;Frequent;Yes;No;Yes;No;Credit Card;Innovator
1147248;F;19;M;Seldom;No;No;Yes;Yes;Bank Transfer;Innovator
1427094;F;19;M;Seldom;No;No;Yes;Yes;Bank Transfer;Innovator
1059048;F;50;M;Regular;Yes;Yes;No;No;Bank Transfer;Early Adopter
1232663;F;50;M;Regular;Yes;Yes;No;No;Bank Transfer;Early Adopter
1721685;F;32;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1116362;M;60;M;Frequent;No;Yes;Yes;No;Website Account;Early Majority
1321149;M;19;M;Regular;Yes;Yes;Yes;No;Website Account;Early Adopter
1894310;M;19;M;Regular;Yes;Yes;Yes;No;Website Account;Early Adopter
1056316;M;40;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1411504;M;38;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Majority
1050964;M;38;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Majority
1677402;F;20;S;Seldom;Yes;Yes;No;No;Website Account;Early Majority
1320294;F;50;S;Seldom;Yes;Yes;No;Yes;Bank Transfer;Late Majority
1392895;M;23;M;Regular;Yes;No;Yes;No;Website Account;Early Adopter
1922835;M;62;M;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1983859;M;62;M;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1489185;M;49;S;Regular;Yes;Yes;Yes;Yes;Website Account;Early Adopter
1928024;M;49;S;Regular;Yes;Yes;Yes;Yes;Website Account;Early Adopter
1221529;F;27;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Early Majority
1151892;F;48;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1553021;M;54;S;Seldom;Yes;No;Yes;No;Bank Transfer;Late Majority
1107104;M;45;S;Regular;No;No;No;No;Website Account;Early Majority
1013250;M;45;S;Regular;No;No;No;No;Website Account;Early Majority
1322820;M;45;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1640016;M;45;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1084895;F;50;S;Seldom;Yes;No;No;No;Website Account;Late Majority
1634252;F;32;M;Frequent;Yes;Yes;No;No;Monthly Billing;Innovator
1258679;M;44;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1684856;F;26;S;Regular;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1016612;M;62;M;Seldom;Yes;No;No;Yes;Bank Transfer;Early Adopter
1293076;F;53;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Majority
1913753;M;50;S;Regular;Yes;No;Yes;No;Website Account;Early Majority
1071067;F;35;S;Regular;Yes;Yes;No;No;Website Account;Early Adopter
1919445;F;40;M;Seldom;Yes;No;Yes;No;Credit Card;Late Majority
1001739;F;48;S;Seldom;Yes;Yes;No;No;Website Account;Late Majority
1936568;F;48;S;Seldom;Yes;Yes;No;No;Website Account;Late Majority
1041959;F;19;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1897926;F;19;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1837379;M;57;M;Frequent;Yes;No;Yes;No;Website Account;Late Majority
1858257;F;21;S;Regular;Yes;No;No;No;Website Account;Early Adopter
1085874;M;44;M;Seldom;No;Yes;Yes;Yes;Website Account;Early Adopter
1082773;M;29;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1159727;M;37;S;Seldom;No;Yes;Yes;Yes;Website Account;Early Adopter
1137080;M;37;S;Seldom;No;Yes;Yes;Yes;Website Account;Early Adopter
1880801;M;43;M;Seldom;Yes;No;Yes;No;Monthly Billing;Late Majority
1214048;M;34;S;Regular;Yes;No;Yes;Yes;Website Account;Late Majority
1766838;F;45;M;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1860716;M;16;S;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1296800;F;61;M;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1451647;M;58;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1335287;M;48;S;Seldom;Yes;Yes;No;No;Monthly Billing;Late Majority
1707678;M;48;S;Seldom;Yes;Yes;No;No;Monthly Billing;Late Majority
1521957;M;55;S;Regular;Yes;No;Yes;No;Bank Transfer;Early Majority
1806849;M;55;S;Regular;Yes;No;Yes;No;Bank Transfer;Early Majority
1709784;F;22;S;Seldom;Yes;Yes;Yes;No;Bank Transfer;Early Majority
1046856;F;22;S;Seldom;Yes;Yes;Yes;No;Bank Transfer;Early Majority
1494787;F;34;S;Regular;Yes;Yes;Yes;No;Website Account;Innovator
1511406;M;51;M;Seldom;Yes;Yes;No;Yes;Monthly Billing;Early Adopter
1398389;M;56;S;Regular;Yes;Yes;Yes;Yes;Website Account;Early Adopter
1220749;M;23;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1016838;M;27;M;Regular;Yes;No;No;No;Bank Transfer;Innovator
1443495;M;36;S;Seldom;Yes;No;No;No;Website Account;Late Majority
1724426;F;29;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Adopter
1186209;F;29;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Adopter
1870692;M;30;S;Seldom;Yes;Yes;Yes;Yes;Credit Card;Early Majority
1288803;M;26;M;Regular;Yes;Yes;Yes;No;Website Account;Early Adopter
1415655;M;16;M;Seldom;Yes;No;Yes;No;Credit Card;Early Majority
1809994;M;56;M;Frequent;Yes;No;Yes;Yes;Website Account;Innovator
1675375;M;56;M;Frequent;Yes;No;Yes;Yes;Website Account;Innovator
1314759;M;26;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Innovator
1858286;M;26;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Innovator
1278855;M;43;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1329500;F;45;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1134060;M;52;M;Regular;Yes;Yes;No;No;Bank Transfer;Early Adopter
1660128;F;54;S;Seldom;Yes;Yes;Yes;No;Monthly Billing;Late Majority
1838975;M;26;S;Seldom;Yes;No;No;No;Credit Card;Late Majority
1601216;F;52;S;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1131271;M;28;M;Seldom;Yes;No;Yes;Yes;Website Account;Late Majority
1443682;M;44;S;Regular;Yes;No;Yes;No;Website Account;Innovator
1255367;F;48;S;Seldom;Yes;Yes;No;Yes;Monthly Billing;Early Adopter
1204366;F;48;S;Seldom;Yes;Yes;No;Yes;Monthly Billing;Early Adopter
1540926;M;55;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1633857;M;55;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1585748;F;48;S;Seldom;Yes;Yes;No;Yes;Monthly Billing;Late Majority
1912195;F;23;M;Seldom;Yes;Yes;Yes;Yes;Website Account;Early Adopter
1450989;M;44;M;Regular;Yes;No;No;No;Credit Card;Late Majority
1984801;F;20;S;Regular;No;No;Yes;No;Website Account;Early Adopter
1094507;F;36;S;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Early Adopter
1964429;M;54;S;Frequent;Yes;Yes;Yes;Yes;Monthly Billing;Innovator
1210841;M;54;S;Frequent;Yes;Yes;Yes;Yes;Monthly Billing;Innovator
1795123;F;44;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1302247;F;44;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1381336;M;46;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1064018;F;37;M;Regular;Yes;No;Yes;No;Bank Transfer;Early Adopter
1646115;F;37;M;Regular;Yes;No;Yes;No;Bank Transfer;Early Adopter
1441242;M;42;M;Seldom;Yes;No;No;Yes;Website Account;Early Majority
1018650;F;33;S;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1772347;M;19;S;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1850402;F;56;M;Seldom;Yes;Yes;No;Yes;Bank Transfer;Early Majority
1560043;F;56;M;Seldom;Yes;Yes;No;Yes;Bank Transfer;Early Majority
1757921;F;21;M;Seldom;Yes;Yes;Yes;No;Website Account;Early Majority
1629970;M;29;S;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1129786;M;29;S;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1487608;M;39;M;Regular;Yes;No;Yes;No;Website Account;Early Majority
1439792;M;27;M;Seldom;No;Yes;Yes;No;Website Account;Late Majority
1766850;M;20;M;Seldom;Yes;No;No;No;Website Account;Early Majority
1102307;M;62;M;Seldom;Yes;Yes;No;No;Credit Card;Late Majority
1438815;M;27;M;Seldom;No;Yes;Yes;No;Website Account;Late Majority
1804698;M;59;M;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1715576;M;59;M;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1671663;F;32;M;Seldom;No;Yes;Yes;Yes;Monthly Billing;Early Adopter
1482183;F;32;M;Seldom;No;Yes;Yes;Yes;Monthly Billing;Early Adopter
1996870;F;44;S;Seldom;Yes;No;Yes;No;Monthly Billing;Late Majority
1325680;F;53;S;Seldom;Yes;No;Yes;Yes;Credit Card;Early Majority
1836395;M;19;S;Regular;Yes;No;Yes;No;Website Account;Early Adopter
1887786;M;19;S;Regular;Yes;No;Yes;No;Website Account;Early Adopter
1434164;F;63;M;Frequent;No;Yes;No;Yes;Website Account;Early Majority
1232413;M;45;S;Seldom;Yes;No;Yes;No;Credit Card;Late Majority
1550742;M;43;S;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1673898;F;27;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Innovator
1989681;F;16;M;Regular;Yes;Yes;Yes;No;Website Account;Early Adopter
1100549;F;16;M;Regular;Yes;Yes;Yes;No;Website Account;Early Adopter
1712781;F;36;S;Frequent;Yes;No;Yes;No;Website Account;Innovator
1633485;F;21;S;Seldom;Yes;No;No;No;Credit Card;Late Majority
1079615;M;59;M;Seldom;Yes;Yes;Yes;No;Credit Card;Late Majority
1206440;F;22;M;Regular;Yes;Yes;Yes;No;Credit Card;Innovator
1369610;F;18;S;Seldom;Yes;Yes;Yes;Yes;Website Account;Innovator
1448069;F;18;S;Seldom;Yes;Yes;Yes;Yes;Website Account;Innovator
1956209;M;40;S;Regular;Yes;Yes;Yes;No;Bank Transfer;Early Majority
1342096;M;18;M;Seldom;Yes;No;Yes;Yes;Monthly Billing;Early Majority
1255790;F;46;S;Regular;Yes;Yes;Yes;No;Bank Transfer;Innovator
1744350;M;32;S;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1374497;M;32;S;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1058428;M;42;S;Seldom;Yes;No;Yes;No;Bank Transfer;Late Majority
1574442;M;46;S;Seldom;Yes;No;Yes;Yes;Website Account;Late Majority
1671977;F;29;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1329328;F;28;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1374854;F;62;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1255883;F;62;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1034814;F;63;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1160776;M;55;M;Frequent;Yes;No;Yes;No;Bank Transfer;Innovator
1483891;M;43;M;Frequent;Yes;Yes;No;Yes;Website Account;Innovator
1967396;F;40;M;Regular;Yes;Yes;Yes;Yes;Website Account;Early Majority
1760223;M;58;M;Frequent;Yes;Yes;No;No;Website Account;Early Adopter
1218707;F;43;M;Frequent;Yes;No;Yes;No;Bank Transfer;Innovator
1997275;F;43;M;Frequent;Yes;No;Yes;No;Bank Transfer;Innovator
1565188;F;17;M;Regular;Yes;No;Yes;No;Credit Card;Early Adopter
1549565;F;64;S;Frequent;Yes;No;Yes;Yes;Monthly Billing;Innovator
1167266;F;47;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Majority
1850279;M;29;M;Regular;Yes;No;Yes;No;Bank Transfer;Early Adopter
1166524;F;62;M;Regular;Yes;Yes;Yes;Yes;Credit Card;Early Adopter
1753114;F;62;M;Regular;Yes;Yes;Yes;Yes;Credit Card;Early Adopter
1297151;M;58;M;Seldom;No;Yes;No;No;Credit Card;Late Majority
1656611;F;44;M;Seldom;Yes;No;Yes;No;Bank Transfer;Late Majority
1901298;F;32;S;Regular;Yes;Yes;No;Yes;Credit Card;Innovator
1694151;F;55;M;Seldom;Yes;Yes;Yes;Yes;Credit Card;Early Adopter
1652114;M;57;S;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1081297;M;49;M;Regular;Yes;No;Yes;Yes;Website Account;Innovator
1342920;F;43;M;Seldom;Yes;Yes;Yes;Yes;Website Account;Early Majority
1380583;F;62;S;Frequent;Yes;No;No;No;Website Account;Early Majority
1445256;M;41;S;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1629979;F;26;M;Regular;Yes;Yes;Yes;No;Website Account;Early Adopter
1610496;M;60;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Adopter
1686841;F;29;S;Seldom;Yes;No;Yes;No;Website Account;Early Adopter
1137550;M;57;S;Seldom;Yes;No;Yes;No;Bank Transfer;Late Majority
1107816;M;51;S;Regular;Yes;No;Yes;Yes;Website Account;Early Adopter
1987159;F;51;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1765282;F;52;M;Seldom;Yes;Yes;No;Yes;Credit Card;Early Adopter
